fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
-0.5215796137896664,0.9393322196122765,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0
-0.29259344188200836,1.9418128237363028,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,1
-0.29259344188200836,1.2734924209869523,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,2
1.6537890193330873,-1.3997891900104504,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,3
-0.5215796137896664,0.9393322196122765,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,4
-0.5215796137896664,0.7165587520291601,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,5
-0.2353468989050935,0.38239855065448447,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,6
-0.5788261567665813,0.6608653851333808,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,7
-0.29259344188200836,0.2710118168629259,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,8
-0.9223054146280687,0.2710118168629259,0.08,1.8,0.0969999999999999,15.0,65.0,0.9959,3.28,0.54,9.2,5,10
-1.5520173873741294,0.4659386009981534,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,12
-0.29259344188200836,0.4380919175502637,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,13
0.10813235895639384,-1.3997891900104504,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,16
-0.2353468989050935,-1.1770157224273337,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,19
-0.40708652783583765,-0.7871621541568791,0.31,2.3,0.0819999999999999,23.0,71.0,0.9982,3.52,0.65,9.7,5,21
-0.2353468989050935,-0.5643886865737623,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,22
0.10813235895639384,-0.23022848519908692,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,23
-0.8078123286742394,-0.7314687872610998,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,24
-1.1512915865357272,-0.7871621541568791,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,25
-0.40708652783583765,-0.6757754203653208,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,26
-0.6933192427204107,0.9950255865080558,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,28
-0.29259344188200836,0.6330187016854912,0.0,2.0,0.0819999999999999,8.0,16.0,0.9964,3.38,0.59,9.8,6,29
-0.9223054146280687,0.800098802372829,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,30
-0.006360726997434932,0.6887120685812704,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,32
-1.7810035592817874,-1.1770157224273337,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,34
-0.29259344188200836,0.6330187016854912,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,35
-0.29259344188200836,0.38239855065448447,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,36
